country,gdp.2005,pop.2005,unemp.2005,gdp.2006,pop.2006,unemp.2006,gdp.2007,pop.2007,unemp.2007,gdp.2008,pop.2008,unemp.2008
FM,0.300081139479451,0.106129,NA,0.29983790783135905,0.105371,NA,0.29433232826185,0.104444,NA,0.287243355955513,0.103543,NA
FO,NA,0.047722,NA,NA,0.047792,NA,NA,0.047825,NA,NA,0.04782,NA
FR,2536.82107582756,63.179351,8.49300003051758,2598.95603315596,63.621381,8.44799995422363,2661.9738620412204,64.016225,7.65700006484985,2668.76045686206,64.374984,7.06300020217896
GA,13.454154690103799,1.390549,16.9099998474121,13.0765532966302,1.430152,17.3229999542236,13.862206744622299,1.472575,17.761999130249,13.4035852480849,1.51854,18.3479995727539
GB,2415.0919343651804,60.401206,4.75,2482.43253605961,60.84682,5.34999990463257,2542.76937953251,61.322463,5.26200008392334,2535.62029300354,61.806995,5.61499977111816
GD,0.8068695568773541,0.104661,NA,0.774632469576978,0.104933,NA,0.822066708874271,0.10519,NA,0.82985614134603,0.105456,NA
GE,9.47977026895091,3.902469,13.8100004196167,10.3727428862052,3.880347,13.5699996948242,11.677525383367701,3.860158,13.2799997329712,11.9599547027672,3.848449,17.8700008392334
GH,23.4860389761393,21.814642,5.52099990844727,24.9891249207416,22.379055,4.63500022888184,26.0753569917489,22.963946,4.66699981689453,28.4611997385771,23.563825,4.76399993896484
GI,NA,0.033219,NA,NA,0.033417,NA,NA,0.033517,NA,NA,0.033559,NA
GL,2.1266869365765197,0.056935,NA,2.24483917426788,0.056774,NA,2.2976476236197803,0.056555,NA,2.43932362511335,0.056328,NA
GM,1.25470072029747,1.543741,9.34500026702881,1.24772984177412,1.591445,9.16600036621094,1.28570137404879,1.639848,9.01099967956543,1.36613363745789,1.689285,8.95899963378906
GN,5.8753021563797505,9.109581,4.4520001411438,5.94371543922186,9.307425,4.33300018310547,6.34952109082652,9.518162,4.23199987411499,6.61217640591288,9.738792,4.19899988174438
GQ,12.0846580463718,0.749535,6.68200016021729,13.0157709918826,0.784496,6.51900005340576,15.0048559423615,0.821687,6.37799978256226,17.675586626849,0.86084,6.33099985122681
GR,304.332233357346,10.987314,9.99400043487549,321.534410827606,11.020362,9.00800037384033,332.060633365953,11.048473,8.39599990844727,330.947657598659,11.077841,7.76000022888184
GT,34.55067340536711,12.948292,3.01099991798401,36.4094225186929,13.21333,2.99499988555908,38.7046920622932,13.477017,2.9909999370575,39.9746239125379,13.739299,3.04399991035461
GU,4.84585945502971,0.158402,7,4.660328826060231,0.158648,7.40000009536743,4.69843782011883,0.158847,8.30000019073486,4.77967014955952,0.159036,7.97700023651123
GW,0.7208331353019709,1.34493,2.63100004196167,0.737479752961763,1.377581,2.52600002288818,0.7615433887985359,1.411543,2.43600010871887,0.7859399438301949,1.446936,2.40599989891052
